danceability,energy,acousticness,instrumentalness,valence,target
0.494,0.947,0.0266,0.00966,0.24,3
0.51,0.926,0.000143,0.212,0.24,3
0.457,0.92,0.0832,3.28E-06,0.468,3
0.391,0.957,0.00331,0.22,0.121,3
0.329,0.973,0.0207,0.361,0.42,3
0.448,0.88,0.0078,1.07E-05,0.394,3
0.466,0.983,0.000141,0.331,0.0539,3
0.402,0.984,0.000621,0.000395,0.378,3
0.518,0.937,0.00139,0.000215,0.47,3
0.659,0.956,0.00431,0.574,0.569,3
0.487,0.965,4.49E-05,0.0143,0.195,3
0.426,0.882,0.00169,0.637,0.23,3
0.681,0.909,0.00135,2.33E-05,0.378,3
0.34,0.865,0.00121,0.42,0.0343,3
0.751,0.823,0.0138,0.000236,0.408,3
0.536,0.955,0.0044,0.433,0.606,3
0.536,0.983,0.00177,0.00451,0.659,3
0.738,0.977,0.0127,0.000553,0.496,3
0.448,0.91,2.49E-05,0.729,0.498,3
0.5,0.871,0.000565,0.114,0.357,3
0.615,0.992,0.0353,0.224,0.721,3
0.542,0.925,0.00852,0.00272,0.254,3
